tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,ChemicalPlant,RawMaterialForElastomer,ElastomerSynthesisProcess,RealElastomer,ElastomerCharacterization,Density,Hardness (Shore A),Tensile Strength (MPa),Elongation at Break (%),Thermal Stability
Michelin tyre process,Radial Tyre Building,Internal Mixing (High Shear),Multi-Roll Calender,Synthetic Rubber Plant,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,Synthetic Rubber Plant,"Styrene, Butadiene, Antioxidants, Antioxidants, Plasticizers",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Bulk Polymerization with Modifiers,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender,Bulk Polymerization with Modifiers,"Isoprene Monomer, Accelerators, Softeners and Extenders",Carbon Black,Polyisoprene Rubber (IR),"Thermogravimetric Analysis (TGA),",0.92,60,19.5,450,130
Michelin tyre process,Tyre Curing,Internal Mixing (High Shear),Multi-Roll Calender,Petrochemical Refinery,"Styrene, Butadiene, Antioxidants, Plasticizers",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Tyre Treading,Internal Mixing,Multi-Roll Calender,Emulsion Polymerization with Chain Extension,"Butadiene Monomer, Stabilizers, Accelerators",Gas-Phase Polymerization,Butadiene Rubber (BR),Nuclear Magnetic Resonance (NMR),0.88,55,17,430,120
Michelin tyre process,Tyre Molding,Two-Stage Mixing,Sheeting Calender,Elastomer Production Facility,"Ethylene, Propylene, Diene monomers, organic peroxides",High-Pressure Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Scanning Electron Microscopy (SEM),0.86,70,14.5,400,140
Michelin tyre process,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),3-Roll Calender,Polymer Processing Plant,"Styrene, Butadiene, Antioxidants, Plasticizers",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,15,500,110
Michelin tyre process,Mold Cure Pressure: 10 MPa,Two-Stage Mixing,4-Roll Calender,Emulsion Polymerization with Chain Extension,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.86,70,14.5,400,140
Michelin tyre process,Single-Stage Cure,Two-Stage Mixing (Internal & Banbury),4-Roll Calender,Solution Polymerization with Coupling Agents,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization with Coupling Agents,High-Cis Polybutadiene (BR),Moving Die Rheometry (MDR),0.91,60,19,470,120
Michelin tyre process,Radial Tyre Building,Internal Mixing (Low Shear),3-Roll Calender,Tyre Manufacturing Plant,"Natural Rubber, Sulfur",Emulsion Polymerization,Polyisoprene,Tensile Testing,0.93,50,22.5,600,110
Michelin tyre process,Belt Building,High-Pressure Mixing,2-Roll Calender,Bulk Polymerization with Modifiers,"Butadiene, Styrene, Plasticizers",Solution Polymerization,High-Impact Styrene-Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.94,65,18,480,120
Michelin tyre process,Tyre Treading,Banbury Mixing,4-Roll Calender,Polymer Blending Facility,Chloroprene Monomers,Suspension Polymerization,Chloroprene Rubber (CR),Differential Scanning Calorimetry (DSC),0.92,55,17.5,420,125
Michelin tyre process,Radial Tyre Building,Internal Mixing,Multi-Roll Calender,Polymer Blending Facility,"Nitrile Monomers, Stabilizers",Emulsion Polymerization,Nitrile Butadiene Rubber (NBR),Nuclear Magnetic Resonance (NMR),0.97,70,16,390,130
